topic,label,terms
databases,Datenbanken,"Datenbankmanagementsystem, Feldtrennzeichen, Antimuster, Netzwerkdatenbankmodell, NoSQL-Datenbanken, Data-Warehouse-System, NoSQL-Datenbank, Auflösungsmuster, Datenbanksystem, Model, Graphdatenbanken, Datenbanksysteme, Objektdatenbanken, Denormalisierungsmuster, Operations-Datenbanken, Datenmodell, Datenmodellierung, Windows-Systemen, Logging-Datenbanken, Open-Source-Datenbank, Objektdatenbankmodell, Datenspeichersystemen, Berechnungsmodell, Datenbanksystemen, Datenbankmodell, Linux-Systemen, Versionsverwaltungssystemen, Framework, Verhaltensmuster, NoSQL-Systeme, Sicherheitsmuster"
databases,Dateien,"Protokolldateien, Logdatei, Feldinhalt, Daten, Logdateien, Metadaten, History-Tabelle, Randdaten, Lastenverteilung, Mastertabelle, Referenztabelle, Hashtabelle, Seite, Querverweistabelle, Ereignisprotokolle, Ereignisprotokolldatei, Fotodaten, Serverlog, Lastverteilung, Fremdschlüssel, CSV-Dateien, Schlüssel, Zieltabelle, Projektdaten, Lookup-Tabelle, Änderungsprotokoll, Datenfelder, Log-Dateien, Transaktionstabelle, Datenbanktabelle, Zeile, Ereignisprotokoll, Protokolldatei, Datensatz, Primärschlüssel, Nettodaten, Nutzungsdaten, Transaktionsprotokoll, Tabelle, Information, Nutzdaten, Einzelnachweis, Adressdaten, Logdateianalyse, Dokument, Datenfeld, Liste, Quellcodedateien, Datentyp, Protokoll, Feldname, Netzwerkinformation, Spalte, Verteilung, Anwendungsseite, Quelltabelle"
databases,Sprachen,"Datenmanipulationssprache, Programmiersprache, Teilsprachen, Abfragesprache, Datenbanksprachen, Datenbanksprache, Manipulationssprache, Sprache, Datenbank-)Abfragesprache"
databases,Beschreibung,"XML-Format, Abgrenzung, Unterscheidung, Beschreibung, Attribut, Datenbeschreibung, Definition, Zuordnung, Unterteilung, Systembeschreibung"
processing,Verbindung,"Phase, Oberphase, Flüssigkeit, Maske, Streichdampf, Rein-Ethanol, Rückfluss, Dampf, Ethanol, Xylolphase, Phenothiazin, Frischxylol, Betrieb, Puffer, Destillatablauf, Xylol, Phenotiazin, Wasserpuffer, Wasser/Xylol, Glykol, Roh-Ethanol, Spülxylol, Wasserphase, Re-Xylol, Wasser-Puffer, Sperrflüssigkeit, Brücke, Wasser, Rücklauf, Mulmphase, Zeit"
processing,Behälter,"Fass, Container, Lösemittelcontainer, Mulm-Container, Auslagerungsbehälter, Abwassersammelbehälter, Lösemittel-Container, Einlaufschauglas, Safener-Container, Lömi-Container, DMF-Container, Mulmcontainer, Fällbehälter, Behälter, Schauglas"
processing,Motor,"Vakuumpumpe, Flüssigkeitsringpumpe, Pumpenhaus, Pumpenmotor, Sumpfaustragspumpe, Roh-Safener-Extraktions-Pumpe, Motor, Dichtung, Diazopumpe, Vakuummaschine, Probenahmepumpe, Spülxylolpumpe, Leitung/Pumpe, Vorlagepumpe, Diazotiererpumpe, Vakuumaschine, HW-Pumpe, Marlothermpumpe, Pumpe, Extraktionspumpe"
processing,Gang,"Rückstandssammler, Mulmsammler, Rundgang, Stand, Lösemittelsammler, Schlosser, Abwassersammler, Mulm-RS-Sammler, Mulmrückstandssammler, Lömi-Sammler, Sammler"
processing,Vorlage,"Hydrolyse-Vorlage, ABC-Vorlage, MASE-Vorlage, Masevorlage, Rein-MIBK-Vorlage, Sumpfvorlage, Vorlage, Rein-Vorlage, Spülxylolvorlage"
processing,Ventil,"Druckluftventil, Ablassventil, Regelventil, Deckel, Tauchrohr, Mannlochdeckel, Pumpengehäuse, Taktungsventil, Abpumpventil, Ventil, Bodenventil"
processing,Beeinträchtigung,"Teil-verstopfung, Störung, Funktionsstörung, Beispielstörung, Verstopfung"
softwaredev,Sprache,"Aufruf, Aufrufbefehl, Bytecode, Zwischencode, Text, Befehl, Ablaufanweisung, Programm-Quellcode, Variable, Fehler, Quellcodeanweisung, Zielcode, Syntaxfehler, Umgebung, HTML-Code, Maschinencode, Vergleichsbefehl, Programmiersprache, Hilfsvariable, Auszeichnungssprache, Quellcode, Anweisung, Teil, Zeigervariable"
softwaredev,Computer,"Rechner, Arbeitsplatzrechner, Computerprogramm, Microcomputer, EDVAC-Rechner, EDSAC-Rechner, Maschine, Computer, Großrechnern"
softwaredev,Methode,"Rechnerkonzept, Prinzip, Methode, Werkzeug, Verfahren, Konzept, Anwendung, Mittel"
softwaredev,Anweisungen,"Ausgabeanweisungen, SQL-Anweisungen, Ausdrücke/Anweisungen, Originalanweisungen, Schleifenkontrollanweisungen"
softwaredev,Wert,"Aufwand, Entwicklungsaufwand, Anpassungsaufwand, Speicherverbrauch, Übertragungsaufwand, Ressourcenverbrauch"
travel,Mensch,"Weltreiseführer, Außendienst, Arbeitgeber, Eisenbahn, Kind, Arbeitsgesetz, Kleintransporter, Dienstreisende, Dienstreisender, Mitarbeiter, Schüler, Radfernreisende, Gastschüler, Reisender, Frau, Fahrgast"
travel,Reise,"Anreise, Regelleistung, Hippie-Bewegung, Schulveranstaltungen, Flug, Schul-/Klassenfahrt, Dienstreise, Mitfahrt, Schulfahrt, Arbeitspflicht, Geschäftsreise, Studienreise, Abschlussfahrten, Austauschreisen, Abi-Reise/Matura-Reise, Schulwanderungen, Betriebsstätte, Dienstgang, Reiseziel, Weltreise, Pflicht, Schulfahrten, Auslandreisen, Arbeitsleistung, Studienfahrten, Leistung, Arbeitsstätte, Tramper-Bewegung, Fahrt, Reisen, Arbeit, Tätigkeit, Dienststätte, Schulausflug, Reiseform, Klassenfahrt, Unterrichtsveranstaltungen, Schülerfahrten, Erziehungsarbeit, Weltumrundung, Schülerfahrt, Dienst, Dienststelle, Schulveranstaltung, Dienstgeschäften, Fahrtenprogramm, Schulreise, Reise, Tagesausflug, Mitreise, Abenteuer, Forschungsweltreise, Auswärtstätigkeit, Exkursion"
travel,Beziehung,"Verbindung, Frauenfahrt, Reiseverkehr, Freizeitverkehr, Linienverkehr, Straßenverbindung, Bahn, Strecke, Überlandstrecken"
travel,Fahrzeug,"Fahrrad, Flugzeug, Autofahrer, Transportmittel, Auto, Fahrer, Schiff, Kraftfahrer, Wohnmobil, Schulbus, Transitstaat, Fahren, Fahrzeug, Verkehrsmittel, Kraftfahrzeug"
travel,Staaten,"Österreich, Frankreich, Asien, Indien, Nordamerika, Deutschland, Kontinent, Japan, Irland, Europa, Welt, Schweiz, Tschechien"
travel,Geld,"Übernachtungskosten, Bundesreisekostengesetz, Betriebsausgaben, Werbungskosten, Fahrtkosten, Trennungsgeld, Reisekosten, Kilometergeld"
